18:13:10:142	Applied via109: Speed200, CNT0, 
18:13:10:142	score: 1708883.00469327, time: 8.33200000000001, intersecting frames: 6
18:13:10:142	via107: Speed1400, CNT60 via137: Speed2200, CNT100 via108: Speed100, CNT100 via109: Speed200, CNT0 via111: Speed3000, CNT0  
18:13:10:142	Considering adjustments from via107 to via111
18:13:10:142	Collisions ignored on 73064-01-R_2t,via107,via111,via111
18:15:26:593	
18:15:26:593	Applied via111: Speed2800, CNT0, 
18:15:26:593	score: 1708883.00469148, time: 8.33200000000001, intersecting frames: 6
18:15:26:593	Speed skip on via111
18:18:01:095	Stepped down to 1400
18:18:01:095	via107: Speed1400, CNT60 via137: Speed2200, CNT100 via108: Speed100, CNT100 via109: Speed200, CNT0 via111: Speed1400, CNT0  
18:18:01:095	Considering adjustments from via107 to via111
18:18:01:095	Collisions ignored on 73064-01-R_2t,via107,via111,via111
18:20:16:325	
18:20:16:325	Applied via111: Speed1200, CNT0, 
18:20:16:325	score: 1708883.00468821, time: 8.41200000000001, intersecting frames: 6
18:20:16:325	via107: Speed1400, CNT60 via137: Speed2200, CNT100 via108: Speed100, CNT100 via109: Speed200, CNT0 via111: Speed1200, CNT0  
18:20:16:325	Considering adjustments from via107 to via111
18:20:16:325	Collisions ignored on 73064-01-R_2t,via107,via111,via111
18:22:32:966	
18:22:32:966	Applied via111: Speed1000, CNT0, 
18:22:32:966	score: 1708883.00468723, time: 8.57200000000001, intersecting frames: 6
18:22:32:966	via107: Speed1400, CNT60 via137: Speed2200, CNT100 via108: Speed100, CNT100 via109: Speed200, CNT0 via111: Speed1000, CNT0  
18:22:32:966	Considering adjustments from via107 to via111
18:22:32:966	Collisions ignored on 73064-01-R_2t,via107,via111,via111
18:24:52:366	
18:24:52:366	Applied via111: Speed800, CNT0, 
18:24:52:366	score: 1708883.00468531, time: 8.81200000000001, intersecting frames: 6
18:24:52:366	via107: Speed1400, CNT60 via137: Speed2200, CNT100 via108: Speed100, CNT100 via109: Speed200, CNT0 via111: Speed800, CNT0  
18:24:52:366	Considering adjustments from via107 to via111
18:24:52:366	Collisions ignored on 73064-01-R_2t,via107,via111,via111
18:27:13:189	
18:27:13:189	Applied via111: Speed600, CNT0, 
18:27:13:189	score: 1708883.00468358, time: 9.02800000000001, intersecting frames: 6
18:27:13:189	via107: Speed1400, CNT60 via137: Speed2200, CNT100 via108: Speed100, CNT100 via109: Speed200, CNT0 via111: Speed600, CNT0  
18:27:13:189	Considering adjustments from via107 to via111
18:27:13:189	Collisions ignored on 73064-01-R_2t,via107,via111,via111
18:29:37:177	
18:29:37:177	Applied via111: Speed400, CNT0, 
18:29:37:177	score: 1708883.004682, time: 9.42800000000001, intersecting frames: 6
18:29:37:177	via107: Speed1400, CNT60 via137: Speed2200, CNT100 via108: Speed100, CNT100 via109: Speed200, CNT0 via111: Speed400, CNT0  
18:29:37:177	Considering adjustments from via107 to via111
18:29:37:177	Collisions ignored on 73064-01-R_2t,via107,via111,via111
18:32:06:409	
18:32:06:409	Applied via111: Speed200, CNT0, 
18:32:06:409	score: 1708883.00467846, time: 10.612, intersecting frames: 6
18:32:06:409	via107: Speed1400, CNT60 via137: Speed2200, CNT100 via108: Speed100, CNT100 via109: Speed200, CNT0 via111: Speed200, CNT0  
18:32:06:409	Considering adjustments from via107 to via111
18:32:06:409	Collisions ignored on 73064-01-R_2t,via107,via111,via111
18:34:25:225	Considering adjustments from via107 to via111
18:34:25:225	Collisions ignored on 73064-01-R_2t,via107,via111,via111
18:36:43:086	
18:36:43:086	Applied via137: Speed1800, CNT100, 
18:36:43:086	score: 1667849.80372974, time: 10.652, intersecting frames: 6
18:36:43:086	via107: Speed1400, CNT60 via137: Speed1800, CNT100 via108: Speed100, CNT100 via109: Speed200, CNT0 via111: Speed200, CNT0  
18:36:43:086	Considering adjustments from via107 to via111
18:36:43:086	Collisions ignored on 73064-01-R_2t,via107,via111,via111
18:39:01:038	Considering adjustments from via107 to via111
18:39:01:293	Collisions ignored on 73064-01-R_2t,via107,via111,via111
18:41:19:388	
18:41:19:388	Applied via108: Speed80, CNT100, 
